0.5	4418	5014	5035	0	3813	1421
1	2344	2414	2490	2393	2198	1108
2	3885	4708	4871	4588	4096	1762
4	5620	7648	10291	8488	7174	3354
8	9318	14357	17778	13987	11662	1725
16	10109	18047	26853	18691	16863	1615
