0.5	3658	5014	5035	0	2487	1785
1	2192	2634	2677	2529	1433	1305
2	3481	3934	5208	4710	2490	2241
4	5120	7472	8014	7805	4176	3804
8	4824	10891	16019	10545	5296	5233
16	3017	11397	20097	12306	7746	5233
