0.5	26712	28466	29461	0	6043	4993
1	8043	8147	8283	9483	3086	4995
2	15174	16422	16209	19118	5939	5322
4	29434	28913	36068	33946	10589	6896
8	33755	38034	48313	74217	16118	5419
16	39654	44792	48850	80796	36154	5419
